Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM, Storage,GPU,Operating System,Operating System Version,Weight,Price
Acer,Aspire 7,Gaming,"15.6""",Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Linux,,2.4kg,70958.16
Asus,VivoBook X540YA-XX519T,Notebook,"15.6""",1366x768,AMD E-Series 7110 1.8GHz,4GB,500GB HDD,AMD Radeon R2 Graphics,Windows,10,2kg,31033.08
HP,ProBook 450,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,Intel HD Graphics 620,Windows,10,2.1kg,62733.06
Lenovo,ThinkPad E470,Notebook,"14.0""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,Windows,10,1.87kg,69802.2
Lenovo,V310-15ISK (i5-6200U/4GB/1TB/FHD/No,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,1TB HDD,Intel HD Graphics 520,No OS,,2.15kg,41112.162
HP,250 G6,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,Windows,10,1.86kg,35301.24
Lenovo,ThinkPad T570,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.99kg,153742.68
Lenovo,IdeaPad 320-15ISK,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,Windows,10,2.2kg,44371.08
Dell,Latitude 5580,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.9kg,99322.7508
Dell,Alienware 17,Gaming,"17.3""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,4.42kg,239995.08
HP,17-X047na (i3-6006U/8GB/1TB/W10),Notebook,"17.3""",1600x900,Intel Core i3 6006U 2GHz,8GB,1TB HDD,Intel HD Graphics 520,Windows,10,2.65kg,48385.818
HP,ProBook 470,Notebook,"17.3""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,Nvidia GeForce 930MX,Windows,10,2.63kg,113817.6
Asus,A541NA-GO342 (N3350/4GB/500GB/Linux),Notebook,"15.6""",1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,500GB HDD,Intel HD Graphics 500,Linux,,2kg,19918.08
Mediacom,SmartBook 130,Notebook,"13.3""",IPS Panel Full HD 1920x1080,Intel Atom x5-Z8350 1.44GHz,4GB,32GB Flash Storage,Intel HD Graphics,Windows,10,1.35kg,22674.6
Lenovo,IdeaPad 320-17IKB,Notebook,"17.3""",1600x900,Intel Core i7 7500U 2.7GHz,6GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows,10,2.8kg,84385.08
HP,15-bw007nv (A10-9620P/6GB/128GB/Radeon,Notebook,"15.6""",IPS Panel Full HD 1920x1080,AMD A10-Series A10-9620P 2.5GHz,6GB,128GB SSD,AMD Radeon 530,Windows,10,1.91kg,50586.588
Dell,Vostro 3568,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2GHz,4GB,1TB HDD,AMD Radeon R5 M420,Windows,10,2.18kg,54943.668
Acer,Spin SP111-31,2 in 1 Convertible,"11.6""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Celeron Dual Core N3350 2.0GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows,10,1.25kg,31033.08
Lenovo,V330-15IKB (i3-7130U/4GB/128GB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,128GB SSD,Intel HD Graphics 620,Windows,10,2.05kg,56019.6
HP,EliteBook 1030,Ultrabook,"13.3""",IPS Panel Quad HD+ / Touchscreen 3200x1800,Intel Core M 6Y75 1.2GHz,16GB,512GB SSD,Intel HD Graphics 515,Windows,10,1.16kg,174727.8
Lenovo,Thinkpad P71,Notebook,"17.3""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia Quadro M620M,Windows,10,3.4kg,266671.08
Asus,FX553VD-DM627T (i5-7300HQ/8GB/1TB,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.5kg,74603.88
Dell,XPS 13,Ultrabook,"13.3""",IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD,Intel UHD Graphics 620,Windows,10,1.21kg,142183.08
Dell,Latitude 5580,Notebook,"15.6""",1366x768,Intel Core i5 7300U 2.6GHz,4GB,500GB HDD,Intel HD Graphics 620,Windows,10,1.93kg,85274.28
Fujitsu,Lifebook A557,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.2kg,65711.88
Lenovo,IdeaPad 320-15IAP,Notebook,"15.6""",Full HD 1920x1080,Intel Pentium Quad Core N4200 1.1GHz,4GB,500GB HDD,Intel HD Graphics 505,Windows,10,2.2kg,30588.48
Lenovo,ThinkPad L470,Notebook,"14.0""",1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,Windows,10,2.02kg,88030.8
HP,ZBook 17,Workstation,"17.3""",1600x900,Intel Core i5 7440HQ 2.8GHz,8GB,500GB HDD,Nvidia Quadro M1200,Windows,10,3.14kg,165479.2308
HP,14-am079na (N3710/8GB/2TB/W10),Notebook,"14.0""",1366x768,Intel Pentium Quad Core N3710 1.6GHz,8GB,2TB HDD,Intel HD Graphics 405,Windows,10,1.94kg,34589.88
HP,15-cd005nv (A9-9420/6GB/256GB/Radeon,Notebook,"15.6""",IPS Panel Full HD 1920x1080,AMD A9-Series A9-9420 3GHz,6GB,256GB SSD,AMD Radeon 530,Windows,10,1.95kg,57709.08
Lenovo,Thinkpad E570,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,2.3kg,73803.6
Lenovo,V330-15IKB (i5-8250U/4GB/500GB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,500GB HDD,Intel HD Graphics 620,Windows,10,2.05kg,60910.2
Mediacom,SmartBook 141,Notebook,"14.0""",Full HD 1920x1080,Intel Atom x5-Z8350 1.44GHz,4GB,32GB SSD,Intel HD Graphics,Windows,10,1.4kg,22141.08
Toshiba,Tecra X40-D-10H,Ultrabook,"14.0""",Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.24kg,165835.8
Lenovo,IdeaPad Y910-17ISK,Gaming,"17.3""",IPS Panel Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,32GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,4.6kg,236793.96
MSI,GT73VR Titan,Gaming,"17.3""",Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,16GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,4.14kg,242662.68
Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,AMD Radeon R5 M430,Linux,,2.2kg,66601.9692
Mediacom,SmartBook Edge,Notebook,"14.0""",IPS Panel Full HD 1920x1080,Intel Celeron Quad Core N3450 1.1GHz,4GB,32GB SSD,Intel HD Graphics 500,Windows,10,1.45kg,34589.88
Dell,Latitude 5580,Notebook,"15.6""",1366x768,Intel Core i5 7300U 2.6GHz,8GB,500GB HDD,Intel HD Graphics 620,Windows,10,1.9kg,89677.5984
HP,ProBook 430,Notebook,"13.3""",Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,Intel HD Graphics 620,Windows,10,1.49kg,63933.48
Dell,Latitude 5580,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,16GB,256GB SSD,Nvidia GeForce 930MX,Windows,10,1.93kg,136704.7188
Dell,Chromebook 11,Netbook,"11.6""",1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,16GB Flash Storage,Intel HD Graphics 400,Chrome OS,,1.26kg,26231.4
MSI,GT80S 6QE,Gaming,"17.3""",Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 980M,Windows,10,4.5kg,208873.08
HP,Omen 17-AN010nv,Gaming,"17.3""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,3.78kg,133202.16
Lenovo,Thinkpad T460s,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i7 6600U 2.6GHz,12GB,256GB SSD,Intel HD Graphics 520,Windows,10,1.4kg,148763.16
Lenovo,Ideapad 320-15IKBR,Notebook,"15.6""",Touchscreen 1366x768,Intel Core i7 8550U 1.8GHz,12GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.2kg,54152.28
Asus,ROG Strix,Gaming,"17.3""",IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.73kg,157388.4
Asus,TP501UA-CJ131T (i5-7200U/8GB/1TB/W10),2 in 1 Convertible,"15.6""",Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 520,Windows,10,2.2kg,65711.88
Lenovo,IdeaPad 320-15ABR,Notebook,"15.6""",Full HD 1920x1080,AMD A12-Series 9720P 3.6GHz,12GB,512GB SSD,AMD Radeon 530,Windows,10,2.2kg,84385.08
Dell,Inspiron 3179,2 in 1 Convertible,"11.6""",Touchscreen 1366x768,Intel Core M 7Y30 1.0GHz,4GB,128GB SSD,Intel HD Graphics 615,Windows,10,1.39kg,53618.76
Samsung,Notebook Odyssey,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.5kg,151075.08
Lenovo,V320-17ISK (i3-6006U/4GB/500GB/FHD/No,Notebook,"17.3""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,No OS,,2.8kg,47038.68
Lenovo,IdeaPad 110-15ISK,Notebook,"15.6""",1366x768,Intel Core i3 6100U 2.3GHz,8GB,1TB HDD,Intel HD Graphics 520,Windows,10,2.29kg,40814.28
Lenovo,ThinkPad Yoga,2 in 1 Convertible,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.37kg,180063
Lenovo,Thinkpad T470p,Notebook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Intel HD Graphics 630,Windows,10,1.7kg,131068.08
Dell,Latitude 5289,2 in 1 Convertible,"12.5""",Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.34kg,148496.4
Dell,Precision 3520,Workstation,"15.6""",Full HD / Touchscreen 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia Quadro M620,Windows,10,2.06kg,156765.96
HP,EliteBook 850,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.84kg,108393.48
HP,ProBook 450,Notebook,"15.6""",1366x768,Intel Core i3 7100U 2.4GHz,4GB,500GB HDD,Intel HD Graphics 620,Windows,10,2.1kg,59441.2416
Acer,Aspire 1,Notebook,"14.0""",Full HD 1920x1080,Intel Celeron Quad Core N3450 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows,10,1.6kg,29254.68
MSI,Laptop MSI,Gaming,"17.3""",Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 970M,Windows,10,4.14kg,195535.08
Dell,Vostro 3568,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2GHz,4GB,1TB HDD,AMD Radeon R5 M420,Linux,,2.18kg,41347.8
MSI,GS63VR 7RF,Gaming,"15.6""",4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1060,Windows,10,1.8kg,204427.08
Toshiba,Tecra Z50-C-144,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows,10,2.2kg,124399.08
Lenovo,IdeaPad 310-15IKB,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.4kg,50150.88
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,"15.6""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Intel HD Graphics 630,Windows,10,2kg,115507.08
Acer,Swift SF114-31-P5HY,Notebook,"14.0""",1366x768,Intel Pentium Quad Core N3710 1.6GHz,4GB,128GB Flash Storage,Intel HD Graphics 405,Windows,10,1.6kg,31033.08
Lenovo,Thinkpad P51,Notebook,"15.6""",IPS Panel 4K Ultra HD 3840x2160,Intel Xeon E3-1535M v6 3.1GHz,32GB,1TB SSD,Nvidia Quadro M2200M,Windows,10,2.5kg,435619.08
Dell,Inspiron 7559,Gaming,"15.6""",Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,16GB,1TB HDD,Nvidia GeForce GTX 960<U+039C>,Windows,10,2.59kg,78161.5692
Dell,Vostro 3568,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,Intel HD Graphics 520,Linux,,2.18kg,39471.588
Dell,Inspiron 3567,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,Intel HD Graphics 520,Linux,,2.25kg,31922.28
Dell,Latitude 5580,Notebook,"15.6""",1366x768,Intel Core i5 7300U 2.6GHz,4GB,500GB HDD,Intel HD Graphics 620,Linux,,1.93kg,77271.48
Asus,FX753VD-GC007T (i7-7700HQ/8GB/1TB,Gaming,"17.3""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,3kg,103858.56
Dell,Vostro 3568,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,AMD Radeon R5 M420,Linux,,2.18kg,50595.48
HP,EliteBook 850,Ultrabook,"15.6""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.84kg,123509.88
MSI,GT62VR 7RE,Gaming,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,2.94kg,201658.1112
Acer,CB5-132T-C9KK (N3160/4GB/32GB/Chrome,2 in 1 Convertible,"11.6""",IPS Panel Touchscreen 1366x768,Intel Celeron Quad Core N3160 1.6GHz,4GB,32GB Flash Storage,Intel HD Graphics 400,Chrome OS,,1.25kg,33700.68
HP,ProBook 650,Notebook,"14.0""",1366x768,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,2.31kg,99946.08
Lenovo,ThinkPad T470,Notebook,"14.0""",Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows,7,1.65kg,130267.8
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,1TB HDD,AMD Radeon 530,Windows,10,2.2kg,69001.92
Fujitsu,LifeBook A557,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,2.2kg,71047.08
HP,EliteBook 850,Notebook,"15.6""",1366x768,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel HD Graphics 520,Windows,7,1.88kg,82873.44
Lenovo,IdeaPad 320-15IKB,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,Nvidia GeForce 920MX,Windows,10,2.2kg,79939.08
Mediacom,SmartBook 140,Notebook,"14.0""",Full HD 1920x1080,Intel Atom x5-Z8350 1.44GHz,2GB,32GB Flash Storage,Intel HD Graphics,Windows,10,1.4kg,21251.88
Lenovo,IdeaPad 320-15IKBN,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,Intel HD Graphics 620,No OS,,2.2kg,41614.56
Asus,Q304UA-BHI5T11 (i5-7200U/6GB/1TB/FHD/W10),2 in 1 Convertible,"13.3""",Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,6GB,1TB HDD,Intel HD Graphics 620,Windows,10,1.5kg,56820.7692
Dell,XPS 15,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows,10,2kg,161834.4
Asus,ZenBook 3,Ultrabook,"14.0""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.1kg,168948
Dell,Inspiron 7567,Gaming,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.62kg,131512.68
Lenovo,V330-15IKB (i5-8250U/4GB/256GB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.8kg,73714.68
Lenovo,Ideapad 320-15ISK,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Nvidia GeForce 920MX ,Windows,10,2.2kg,51484.68
Asus,X541NA-GO414T (N3350/8GB/1TB/W10),Notebook,"15.6""",1366x768,Intel Celeron Dual Core N3350 1.1GHz,8GB,1TB HDD,Intel HD Graphics 500,Windows,10,2kg,35479.08
Asus,VivoBook Pro,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows,10,1.99kg,80616.6504
Dell,XPS 13,Ultrabook,"13.3""",Quad HD+ / Touchscreen 3200x1800,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.23kg,166191.48
Lenovo,IdeaPad 100S-14IBR,Notebook,"14.0""",1366x768,Intel Celeron Dual Core N3060 1.6GHz,2GB,32GB Flash Storage,Intel HD Graphics 400,Windows,10,1.42kg,22141.08
Lenovo,Thinkpad Yoga,2 in 1 Convertible,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.37kg,156269.7864
Dell,XPS 15,Notebook,"15.6""",4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16GB,1TB SSD,Nvidia GeForce GTX 1050,Windows,10,2.06kg,213319.08
Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050M,Windows,10,2.5kg,98612.28
HP,17-AK091ND (A9-9420/8GB/1TB/W10),Notebook,"17.0""",1600x900,AMD A9-Series 9420 3GHz,8GB,1TB HDD,AMD Radeon R5,Windows,10,2.6kg,46318.428
Lenovo,ThinkPad X1,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,Windows,10,1.14kg,217854
Asus,ROG GL553VE-FY022,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050 Ti,No OS,,2.5kg,103947.48
Acer,Extensa EX2540,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,Windows,10,2.4kg,40014
Lenovo,IdeaPad 100S-14IBR,Notebook,"14.0""",1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,32GB Flash Storage,Intel HD Graphics,Windows,10,1.43kg,24364.08
Acer,Swift 3,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel Graphics 620,Windows,10,1.8kg,81717.48
Razer,Blade Pro,Gaming,"14.0""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD,Nvidia GeForce GTX 1060,Windows,10,1.95kg,231103.08
Toshiba,Portege Z30-C-16J,Notebook,"13.3""",Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows,10,1.2kg,107859.96
Lenovo,Thinkpad X270,Ultrabook,"12.5""",IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.36kg,140849.28
Asus,ROG G701VI,Gaming,"17.3""",IPS Panel Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,32GB,512GB SSD,Nvidia GeForce GTX 1080,Windows,10,3.8kg,248887.08
Acer,A715-71G-59DH (i5-7300HQ/8GB/1TB/GeForce,Gaming,"15.6""",Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Linux,,2.4kg,63044.28
Dell,XPS 13,Ultrabook,"13.3""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.2kg,128925.108
MSI,GL62M 7REX,Gaming,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.2kg,105974.856
HP,250 G6,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,No OS,,1.86kg,32446.908
Toshiba,Tecra A50-D-11M,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,500GB HDD,Intel HD Graphics 620,Windows,10,2.0kg,94610.88
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 530,Windows,10,2.2kg,81717.48
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,Windows,10,2.2kg,100924.2
Lenovo,IdeaPad Y700-15ISK,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960,Windows,10,3.31kg,106348.32
Dell,Alienware 17,Gaming,"17.3""",IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,32GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows,10,4.42kg,279864.1404
Dell,Latitude E7470,Notebook,"14.0""",Full HD 1920x1080,Intel Core i5 6300U 2.4GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows,10,1.56kg,109282.68
Lenovo,Ideapad 320-15IAP,Notebook,"15.6""",1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,500GB HDD,Intel HD Graphics 500,Windows,10,2.2kg,37257.48
Lenovo,IdeaPad 320-15ISK,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel HD Graphics 520,Windows,10,2.2kg,47572.2
HP,15-ay047nv (i3-6006U/6GB/1TB/Radeon,Notebook,"15.6""",1920x1080,Intel Core i3 6006U 2GHz,6GB,1TB HDD,AMD Radeon R5 M430,Windows,10,2.04kg,47927.88
MSI,GP72VR Leopard,Gaming,"17.3""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.7kg,132203.5884
Toshiba,Satellite Pro,Notebook,"15.6""",1366x768,Intel Core i3 6100U 2.1GHz,4GB,128GB SSD,Intel HD Graphics 520,Windows,10,2.1kg,44282.16
Dell,Latitude 3580,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.06kg,84918.6
HP,15-bs012nv (i7-7500U/8GB/1TB/Radeon,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,AMD Radeon 530,Windows,10,2.1kg,66245.4
Toshiba,Tecra Z50-D-10E,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,2.0kg,111861.36
Acer,Aspire 3,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,Linux,,2.1kg,36635.04
Microsoft,Surface Laptop,Ultrabook,"13.5""",Touchscreen 2256x1504,Intel Core i7 7600U 2.8GHz,8GB,256GB SSD,Intel Iris Plus Graphics 640,Windows,10 S,1.252kg,166089.222
Lenovo,V310-15ISK (i5-7200U/8GB/1TB,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon R5 M430,Windows,10,1.90kg,72732.114
Lenovo,Yoga 720-13IKB,2 in 1 Convertible,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.3kg,91943.28
Lenovo,IdeaPad 320-15AST,Notebook,"15.6""",1366x768,AMD E-Series E2-9000 2.2GHz,4GB,128GB SSD,AMD Radeon R2 Graphics,Windows,10,2.2kg,31033.08
HP,Pavilion X360,2 in 1 Convertible,"14.0""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,Nvidia GeForce 940MX,Windows,10,1.63kg,62155.08
MSI,GP62 7RDX,Gaming,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.4kg,115062.48
Asus,Zenbook 3,Ultrabook,"14.0""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.1kg,100924.2
HP,Chromebook X360,2 in 1 Convertible,"11.6""",Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,8GB,64GB Flash Storage,Intel HD Graphics 500,Chrome OS,,1.4kg,44015.4
